Original_Input_Text,RL_Types,Raw_Model_Output
土生土长合肥人表示14年以前根本舍不得离开合肥，好爱这个城市，14年以后越来越不爱在合肥待着了，每年想办法溜出去给自己放假，感觉每个城市都比合肥新鲜，没有繁杂的交通环境，不用走在过个马路和各种电瓶车碰撞,[认同逻辑3：Family Rootedness（家族历史根基/个体成长史）],输出： [认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]
合肥土著人，感觉合肥的名片从包拯故里改成大湖名城以后，面积大了不少，交通也在变的便捷，相应的民生政策并没有积极跟上，希望越来越好，做到真正的宜居,[认同逻辑3，认同逻辑5],输出： [认同逻辑3，认同逻辑5]
合肥的人口这几年聚集太多了，整体管理还是有很大脱节的，比如停车问题就很糟糕。而且本地人也不少的，但和深圳不一样，本地人很少吃到房价上涨带来的资产增加，跟外地人组成新合肥人相比，竞争力相对不足,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
有一说一之前去合肥，当地的阜阳口音是真的正宗啊,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
我老家也是大圩的欸，不过好像大圩拆迁房的房价并不高吧，是什么葡萄家园吧,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
别逗了，，他们家父母和她都是45，确实有小户型60的，但是有些是自己掏钱钱买的平方，给你60又怎么样，，多15平方也就多8万来块钱修不修好有个屁关系，房价在这里，根本没人买，发财个毛啊，真靠每个月租房补助能有多少钱，我朋友大铺头拆迁，到现在房子也没拿，每个月人头补助才几个钱，这些钱不会在你这就是巨款吧。,[认同逻辑2：Administrative Legitimacy（行政归属合法性）]、[认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]、[认同逻辑6：Social Embeddedness（社会根基深浅与经济地位象征）]
说实话，我们这一代当时强制普及普通话，天天做这个黑板报，我们能听懂合肥话，但是说出来总是怪怪的，我妈还问我是哪里的口音,[认同逻辑4：Linguistic-Cultural Recognition],输出： [认同逻辑4：Linguistic-Cultural Recognition]
合肥四个行政区啊，为什么合肥人都爱把这种高新区说成行政区,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
因为高新区有自己的学区啊，而且管委会管理行政事务，居民办事也不去蜀山区啊，房产证也是高新区，就一个身份证是蜀山区,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
没说不宜居 瑶海庐阳都很宜居 我在瑶海生活五六年 买东西真的很方便 但是发展比较好的区确实包河和蜀山更强些,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）， 认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）， 认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
新站我在那边住了几年生活挺方便的 有地铁1号线 三号线 四号线 新站那优势是那边是市区产证 ，整体的环境一般， 磨店那个商业街我也去了 都是一些小吃 奶茶店 平时没什么人，新站因为很多地区都被定位工业区 ，新站那边现在主要靠 京东方 维信诺 和康宁这几个大厂来支撑 。至于后期的五星级酒店和普通人也没太大关系。,[认同逻辑2：Administrative Legitimacy] [认同逻辑5：Functional Livability],输出： [认同逻辑2：Administrative Legitimacy] [认同逻辑5：Functional Livability]
合肥土著告诉你，政务区只是从经济上划分的独立区域，行政上依然是属于蜀山区。往大了说就像深圳和国家的关系一样，深圳是经济特区的同时，它也是国家的城市区域，但它代表不了国家（ps：包括大部分合肥本地人提到天鹅湖都是说蜀山区天鹅湖）,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]"
政务区是功能区，蜀山是行政区，政务区归属于蜀山区，功能区只是方便市里管理做的划分。,[认同逻辑2],输出： [认同逻辑2]
滨湖的都说滨湖宜居，吃喝玩乐都方便。不是杠，就是真的想问下具体是滨湖哪块都做到这样我认识的亲戚朋友在滨湖的，感觉地方大是大，但是人好少，也没什么好的商业圈一直都好好奇,[认同逻辑5],输出： [认同逻辑5]
首先看你怎么定义发展，1.政府意义上发生最好的肯定是包河区，一系列数字亮瞎眼；2.从产业就业角度，发展好的是高新区，平头百姓家靠个人努力能达到的高度；3.从个人体验上来说，感受发展最好的是政务区，相对比较新，配套也成熟，居住体验不错。4.从真正的功能体验上来说，外围的发展和我护城河内的老居民来说关系不大，顶级的教育质量、医疗配套、核心商业都有，房子要那么大干什么？舒服便捷第一位，送孩子上学步行；去省立安医不用一去就要花半天；晚上饿了下了楼走5分钟就有的烟火气；单位大院邻里的热火劲；父母年纪大了东西拿不动时都能碰到孩子发小搭把手的远亲不如近邻的熟人圈。,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
庐阳区橡树湾，真的很棒！交通方便，地铁方便，有商场，小区环境好，物业好，学区好，周围设施也好，住了就不想走了…第二套房子准备还买橡树湾或者附近,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
这个不知道反正包河区公务员分数线最高，高的离谱,[认同逻辑7：Occupational Typification],输出： [认同逻辑7：Occupational Typification]
发展这块，就产业而言，综合下来高新是大哥。就环境而言，滨湖是最舒服的。就烟火气而言个人感官庐阳最有感觉。如果按行政区域来算，蜀山区无疑，老城新区产业环境都有的。,"[认同逻辑2：Administrative Legitimacy, 认同逻辑5：Functional Livability]","输出： [认同逻辑2：Administrative Legitimacy, 认同逻辑5：Functional Livability]"
政务好不好不知，消费反正是最高的庐阳虽然已经变成老城区，整体看比较适合生活，毕竟有学区和医院，还有四通八达的地理位置的便利蜀山、经开、包河感觉差不多，包河现在有点逐渐开始攀升的感觉瑶海环境不行，发展一般，不高不低滨湖、新站没待过，不好评论。,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
土生土长庐阳区人 虽然是老城区 但交通吃喝真的很方便 习惯了,[认同逻辑3：Family Rootedness，认同逻辑5：Functional Livability],输出： [认同逻辑3：Family Rootedness，认同逻辑5：Functional Livability]
没有，我土生土长合肥蜀山区人就喜欢绿化好人少的居住环境，所以大蜀山附近和滨湖是我买房首选,[认同逻辑3：Family Rootedness，认同逻辑5：Functional Livability],输出： [认同逻辑3：Family Rootedness，认同逻辑5：Functional Livability]
上派生活也超级方便，家家公园房，买菜也比市里的菜好，商业也很发达，现在还通地铁了,[认同逻辑5],输出： [认同逻辑5]
我一开始不喜欢老城区，觉得旧旧的。结果政务区住四年回老城区真香安医，中医院，省立随便选，电动车10分钟。007，大老刘，各种美食街，小吃店，出门就到。送孩子上学10分钟内。周边都是菜场。爱死了,"[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]  

**分析说明：**  
作者在文本中表达了对老城区的偏好，并通过列举“安医、中医院、省立随便选”、“电动车10分钟”、“送孩子上学10分钟内”、“周边都是菜场”、“各种美食街，小吃店，出门就到”等具体生活便利条件，构建了一个宜居、便利、功能齐全的本地生活图景。这些内容明确体现了作者从基础设施、服务可达性、生活舒适度等角度来评价老城区是否符合“好的本地”标准，因此符合**认同逻辑5：Functional Livability**。  

作者并未涉及家族背景、语言、行政区划、社会关系网、职业象征或空间习惯认知等其他认同逻辑，因此不属于其他类别。","输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]  

**分析说明：**  
作者在文本中表达了对老城区的偏好，并通过列举“安医、中医院、省立随便选”、“电动车10分钟”、“送孩子上学10分钟内”、“周边都是菜场”、“各种美食街，小吃店，出门就到”等具体生活便利条件，构建了一个宜居、便利、功能齐全的本地生活图景。这些内容明确体现了作者从基础设施、服务可达性、生活舒适度等角度来评价老城区是否符合“好的本地”标准，因此符合**认同逻辑5：Functional Livability**。  

作者并未涉及家族背景、语言、行政区划、社会关系网、职业象征或空间习惯认知等其他认同逻辑，因此不属于其他类别。"
只要上班通勤不堵车的，或是有地铁直达的，住哪里都好～因为各个区都有自己的商业圈，外卖也很方便。,[认同逻辑5],输出： [认同逻辑5]
瑶海排除，乱死了尤其龙岗这边长江批发市场这里，绿灯过斑马线一堆开电瓶车运货的一点也不看，就上来撞人,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
其实我觉得合肥总体生活体验都挺好的反正哪里都交通便利,[认同逻辑5],输出： [认同逻辑5]
作为土生土长本地人目前居住滨湖，但还是喜欢我庐阳啊,[认同逻辑3：Family Rootedness，认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑3：Family Rootedness，认同逻辑1：Vernacular Spatial Authority]
你看哪个区房价最贵。,[认同逻辑5],输出： [认同逻辑5]
现在房价都在涨,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
大部分是工业区。地铁覆盖范围少，公园也就两个,[认同逻辑5],输出： [认同逻辑5]
南站附近地铁公交都方便 比经开有的地方好多了,[认同逻辑5],输出： [认同逻辑5]
交通不便直接pass,[认同逻辑5],输出： [认同逻辑5]
骑小车坐公交还是地铁哪点不方便,[认同逻辑5],输出： [认同逻辑5]
天天堵车，开车没地方停，没有快速路，红绿灯太多，住一下交通方便的地方就有对比,[认同逻辑5],输出： [认同逻辑5]
我也住城区，但是近综合交通，你自己试试下高架5分钟就到家多舒服了,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
我说的近综合交通不就这样吗？,"[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]  

作者在语句中提及“近综合交通”作为评价一个区域是否便利、宜居的重要标准，体现出该区域在物质基础设施层面的优越性或可取性。此标准与城市地区的功能性生活质量挂钩，是作者认同的、用于判断一个地方是否符合“好的本地”标准之一。","输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]  

作者在语句中提及“近综合交通”作为评价一个区域是否便利、宜居的重要标准，体现出该区域在物质基础设施层面的优越性或可取性。此标准与城市地区的功能性生活质量挂钩，是作者认同的、用于判断一个地方是否符合“好的本地”标准之一。"
我从地图上研究过，最方便的是华府骏苑那一块，距离各大商业区，银泰之心城万象城啥的，距离都比较平均。唯一缺点是周围好工作很少,[认同逻辑5],输出： [认同逻辑5]
有车之后你就知道，老城区堵车几小时的堵,[认同逻辑5],输出： [认同逻辑5]
还有双地铁4.6也是很方便，就是新房二手一起疯狂卷，还有五里庙和朗溪路高架不利因素美中不足,[认同逻辑5],输出： [认同逻辑5]
肥东必须是最差，工业园不说了，空气环境不行，交通也不行，设施也跟不上 ， 下雨就涝，地震中心,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
瑶海有烟火气而且瑶海设施陪套齐全，生活消费低，并且瑶海交通方便,[认同逻辑5],输出： [认同逻辑5]
瑶海区还行吧，尤其是一环二环那里，我家门口有三号线地铁和能直通市中心的公交车，区内有38中这样的好初中,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
交通确实很方便的,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
是真的很方便 就是房价贵了噻，改善也没有选择,[认同逻辑5],输出： [认同逻辑5]
我也喜欢七里塘，摆摊吃 真的很方便，去步行街也很方便，离省医院也不远，也不用下班开车去挤那边,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
有一系列的配套，离老城区也很近，就很方便,[认同逻辑5],输出： [认同逻辑5]
"个人感觉目前济南市区的范围:
 东线: 凤凰路-凤凰北路（东边发展太快，二环东肯定打不住了）
 西线: 二环西高架（说纬十二-郎茂山路也可以）
 南线: 二环南高架（无任何争议）
 北线: 北园高架-工业北高架（无任何争议）
 欢迎理性讨论，拒绝无脑发言。该区域划分按照济南现有发展程度所制，无任何地域歧视",[认同逻辑1],输出： [认同逻辑1]
我小时候从济钢到市区叫做“去济南”。……而且还要坐火车去“济南”，那时济钢桥头有个374车站，编号是距离青岛站374公里的意思，后面改叫韩仓站，现在废弃了。后来有了8路、10路公交车……现在公交、地铁一应俱全，不过不超过CBD（原二钢）还是电瓶车最方便,"[认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority, 认同逻辑5：Functional Livability]","输出： [认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority, 认同逻辑5：Functional Livability]"
我小时候以前从章丘到济南还有收费站,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
坐标槐荫……86年……小时候我们在机务段做火车去市里……,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
我知道济南历史文化名城，论经济青岛不算是后起之秀吗，济南现在历下市中发展比较好，资源倾斜都感受不到吗，我遇到的都按发展谈论市区，可能和年轻人讨论比较多，基本都看发展，大家公认青岛发展会比济南好，但现在新建地铁，可能也是新机遇,[认同逻辑5],输出： [认同逻辑5]
94年的，小时候住大明湖附近，感觉济南最西是现在和谐那边，最东是甸柳庄，最北是洛口，最南是东八里洼。那时候跟爸爸回章丘爷爷家，过了甸柳庄都是土路....以至于我家搬到奥体附近住十多年了，去泉城路玩都还叫去市里哈哈,"[认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority]","输出： [认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority]"
我06的，家在市中区，现在往泉城路还习惯说是去市里,[认同逻辑1，认同逻辑3],输出： [认同逻辑1，认同逻辑3]
看标题，2022年，我说的跟老市区没有一点关系,[认同逻辑1],输出： [认同逻辑1]
所以并不是所有的老济南人都认准那一块，你要搞清楚，就天桥槐荫那块小时候呆了20年，等有钱买房了第一时间搬到领秀城附近，这才是老济南的缩影,"[认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority]","输出： [认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority]"
洪楼很方便，可以坐地铁，推荐华山湖公园，环联夜市，洪楼教堂，省美术馆博物馆啥的都可以去看看,[认同逻辑5：Functional Livability],输出： [认同逻辑5：Functional Livability]
应该得去掉一大半，老济南只有护城河里面那一块吧，我们这是里这样说的～所以老济南画个小圈圈就好啦。不过2022年的济南市区确实大了不少，听我爸说济南扩建了好几次才有了现在的济南。现在莱芜章丘也并入济南了吧?济南越来越大啦，市区肯定不能那么一点点啦～毕竟是省会，不发展一下如何是好，对吧?,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]"
我爷爷说护城河以里是济南，我姑姑嫁去全福都觉得是『闺女嫁外头去了』…80后（我）觉得市区还是二环里，下班回家觉得过来二环东才算进市区…当然了，东部发展的比其他地方都快，是二环南二环北二环西都比不上的，但内心还是觉得，那是『二环外』,[认同逻辑1],输出： [认同逻辑1]
批发市场不是市区吗？？你家的批发市场在农村啊？？,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
章丘人，上了大学说自己是济南的，别的区的觉得我碰瓷。。。。。说的和我们很想并入你们一样章丘市不比区大气啊？,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知），认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知），认同逻辑2：Administrative Legitimacy（行政归属合法性）]
呃，有没有想过被划进来的也不喜欢济南啊，纯纯被济南吸血光靠济南市区早就让烟台超了,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
老槐荫的传统思想，十二马路以西，纬一路以东，经一路以北，十一马路以南都比较偏你说二环外？那就是农村啊,[认同逻辑1],输出： [认同逻辑1]
差不多吧，这个和济南公共交通建设网络有关系吧，地铁基本上就围着城郊走一圈，市区去东南西北如果乘坐公共汽车或者打车也蛮麻烦的,[认同逻辑5],输出： [认同逻辑5]
我小时候住大观园，那时候觉得就是市中心了最南到英雄山，最北到长途汽车站，东边到101终点站，最西到十二马路生活区域就这么点，到现在我老公还说我一个济南人哪里的路都不认识。。。我想说我只认识一个圈,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
最近又出了双层公交车，线路好像就是走历城区那块，我一个室友就是历程的，她拍了视频给我们特意强调这是她们那边的双层公交车，我很不能理解，双层公交我记得小时候经常坐，都不觉得是多么稀罕的东西了，然后双层公交没了几年，现在又出来了，她给我们几个小时候就经常坐的同学显摆，我们都不好意思说我们之前就坐过,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
龙洞似乎并不介意自己属不属于济南市区，只知道自己最贵就可以了,[认同逻辑5],输出： [认同逻辑5]
你画的小商品批发市场有汽车站有动物园的 也不算市区啊,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
很小的时候去济南，觉得历城就是郊区了，至于莱芜，我们本来就是刚合过去的，大多数的莱芜人在归属感上还是认同自己是莱芜人，个人观点不喜勿喷,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑2：Administrative Legitimacy（行政归属合法性）]"
确实，我爸甚至还能分辨出东西南北四关的口音差异，到我连章丘和济南口音都分不出来，完全理解不了这么小的地方怎么会有口音差异呢,[认同逻辑4],输出： [认同逻辑4]
一部分在历下一部分在历城吧 高新不是行政区划啊,[认同逻辑2：Administrative Legitimacy],输出： [认同逻辑2：Administrative Legitimacy]
历下:设施齐全去哪里都方便 市中:万达大观园老商埠偶尔逛逛 天桥:小时候买衣服长大了搞装修偶尔去逛农贸市场 高新:都是上流社会的人 绿化挺好 槐荫:大剧院西客站宜家（？忘了是不是在槐荫了） 历城:没去过但是知道在市里 章丘长清平阴:已经不在市里了,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知），认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知），认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
红谷滩，不过生活成本也相对高一些,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
啥叫市中心 和传不传统没关系啊 具有文化教育医疗商业在城市领先的地方才是市中心啊 cbd在哪哪就是呗,[认同逻辑1：Vernacular Spatial Authority，认同逻辑5：Functional Livability],输出： [认同逻辑1：Vernacular Spatial Authority，认同逻辑5：Functional Livability]
哈哈哈 我也是家里三代都在市区 对老南昌人来说市中心就是八一广场附近的商圈 我小时候念的育新嘛 就很夸张 说三十四年以前 二七北路都是郊区,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]"
南昌很多中心地区，只是不同的地方不同的定位，如果说哪里最好，按照房价来，是红谷滩,[认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）],输出： [认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]
老南昌人，现在从红谷滩区老城区还是习惯说“去市内”,[认同逻辑1],输出： [认同逻辑1]
市中心是八一广场那边 所谓的一环二环也是八一为中心往外扩散 说红谷滩的 真的笑死,[认同逻辑1],输出： [认同逻辑1]
红谷滩我小时候是荒郊野岭，后来新城区建起来了，现在如果你要拿出去比面子，用红谷滩那块没毛病，但是你要问我们本地人，市中心一定只会是八一广场，我小时候对南昌的记忆也一定是那边,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
土生土长南昌人告诉你，南昌的市中心是东湖区八一广场中山路孺子路等那一片，红谷滩以前很荒废，后来发展起来的，所以红谷滩那边很多外地人，但现在确实红谷滩发展的很好,"[认同逻辑1: Vernacular Spatial Authority, 认同逻辑3: Family Rootedness]","输出： [认同逻辑1: Vernacular Spatial Authority, 认同逻辑3: Family Rootedness]"
说红谷滩是市中心真的觉得搞笑，就算不是土生土长的，听下交通广播都知道，从八一大桥去往红谷滩叫出城方向。,"[认同逻辑1, 认同逻辑3]","输出： [认同逻辑1, 认同逻辑3]"
老市中心和新市中心的区别，从小在红谷滩长大，以前是叫昌北的，小时候到处都是一片荒芜，鸟不拉屎的地方，都是说过了八一桥才是真南昌，所以去东湖那边都会说去南昌。后面红谷滩才慢慢开发起来，建了很多大厦，开设地铁，引入CBD，包括各级政府的迁移，也改名从红谷滩新区到红谷滩区了，现在说是南昌的市中心我觉得没毛病。,[认同逻辑1：Vernacular Spatial Authority，认同逻辑2：Administrative Legitimacy，认同逻辑3：Family Rootedness，认同逻辑5：Functional Livability],输出： [认同逻辑1：Vernacular Spatial Authority，认同逻辑2：Administrative Legitimacy，认同逻辑3：Family Rootedness，认同逻辑5：Functional Livability]
因为红谷滩新区不是行政区，是经济区哈哈哈哈，我现在淘宝里还有地址,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
原来省政府在八一广场那，八一广场一带就是市中心，中山路、步行街，大点范围可以说市中心是东湖西湖区。小时候逛街都是去八一广场、中上路、万寿宫、步行街。后来，孟建柱到了江西，用上海模式建立了一江两岸，发展了红谷滩，市政府迁了过去，政治中心的转移，也使得红谷滩发展越来越好，包括后来发展的新建县。我还记得小时候和妈妈去昌北，那时候还得坐小巴车、车上也脏，真的就是去了农村。后来红谷滩开始发展的时候，我去新建二中读书，我依然还记得那时候上一周学回来，脚上全是泥，我爸开玩笑说我是耕田回来的。没有贬义的意思啊！现在红谷滩和新建区都发展的很好，我也很喜欢我的母校。就是突然看到这个话题，想起来小时候。,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）, 认同逻辑5：Functional Livability（生活功能便利性与环境品质认知）]"
我老公南昌土著，说他小时候红谷滩就是一片荒滩。,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
红谷滩租房死贵死贵 房价也是,[认同逻辑5],输出： [认同逻辑5]
黄明他妈我见过，标准的市里人，不是胶州口音,[认同逻辑4],输出： [认同逻辑4]
我也是城阳人，听到市里口音够够的，高贵的很,[认同逻辑4],输出： [认同逻辑4]
抱抱，反正在我眼里我只看行政区域划分，属于青岛那就是青岛人，管是胶州还是城阳，早些年因为交通不便利人们觉得隔着远就罢了，现在不管地铁还是开车一会就到了呀,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
而且莱西平度跟青岛持平的就剩口音了，别的方面跟青岛都有差距，胶州起码还有地铁机场,[认同逻辑4：Linguistic-Cultural Recognition，认同逻辑5：Functional Livability，认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑4：Linguistic-Cultural Recognition，认同逻辑5：Functional Livability，认同逻辑1：Vernacular Spatial Authority]
画多了，应该就是市南+市北（不能过北岭水清沟）+崂山（不能过金家岭），这些才是青岛市里the city哈哈。----土生土长的青岛小嫚现在是老阿姨一枚,"[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]","输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）, 认同逻辑3：Family Rootedness（家族历史根基/个体成长史）]"
我之前去青岛玩，他们说房价最贵的区是在崂山区，可为什么市南区会看不起城建比较新的崂山区，还觉得对方乡下，不懂... 是类似浦西浦东那样吗？,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
作为土生土长青岛市南人，真不懂谁在搞这些鄙视链！青岛市区上了年纪的人，有几个人在胶南胶州没有老家的亲戚？还不是爷爷辈那辈才进城？另外，市区的高考升学率一直被县级市的学校吊打，当然这和学校不卷有很大关系，很多人后来出国为主。论经济，县级市也出了很多驰名企业。现在的香港路，我幼儿园那阵还是小村庄，这个庄，那个庄的。,"[认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority, 认同逻辑2：Administrative Legitimacy, 认同逻辑5：Functional Livability]","输出： [认同逻辑3：Family Rootedness, 认同逻辑1：Vernacular Spatial Authority, 认同逻辑2：Administrative Legitimacy, 认同逻辑5：Functional Livability]"
我家闺女户口就是平度的，因为她爸爸是土生土长平度人，我是济南的，我们现在都在济南生活，我从小就教孩子说是济南人，老家平度的，千万别说是青岛的，她爸爸经常自称青岛人，被人家青岛人笑话,"[认同逻辑2：Administrative Legitimacy, 认同逻辑3：Family Rootedness, 认同逻辑4：Linguistic-Cultural Recognition]","输出： [认同逻辑2：Administrative Legitimacy, 认同逻辑3：Family Rootedness, 认同逻辑4：Linguistic-Cultural Recognition]"
从我爸妈口中说的，我理解的，我父母年轻时在市南区就已经住楼房了，别的区平房多，再加上交通不便利，出行远环境破旧，才出现的鄙视链而已。,[认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）],输出： [认同逻辑1：Vernacular Spatial Authority（社会习惯性区域认知）]
一开始论繁华便利市南是排不上的，后来市南拆迁改造之后就开始睥睨众生了，新建的配套什么的都比原先的好，就像现在的崂山一样,[认同逻辑5],输出： [认同逻辑5]
青岛鄙视链的陋习延续这么多年了..还是没有任何改变...曾经的老西镇看谁都是老巴子.. 到老台东看谁都很土..不洋气.. 直到市南辛家庄拆迁改造后开始看不起一切众生了... 从前的老青岛人只承认市内四区（市南>市北>四方>李沧）崂山区都被排除在外的... 更何况七区五市之外的了..所谓土生土长的青岛人..真觉得这个陋习什么时候能改变？,[认同逻辑1：Vernacular Spatial Authority],输出： [认同逻辑1：Vernacular Spatial Authority]
莱西与莱阳以前好像是一块的，我看百度说莱西以前属于烟台，我感觉我们这边口音都不太一样,[认同逻辑4：Linguistic-Cultural Recognition，认同逻辑2：Administrative Legitimacy],输出： [认同逻辑4：Linguistic-Cultural Recognition，认同逻辑2：Administrative Legitimacy]
即墨也曾经归属过烟台。,[认同逻辑2：Administrative Legitimacy],输出： [认同逻辑2：Administrative Legitimacy]
因为他们的地区名就是带市，平度市，通常他们说山东省平度市，但是归属青岛市。 但是出去的话就会说是青岛了。,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
以前平度不在青岛范围 后来规划进去了,[认同逻辑2：Administrative Legitimacy（行政归属合法性）],输出： [认同逻辑2：Administrative Legitimacy（行政归属合法性）]
我见过一些平度人对我们潍坊归属感比青岛还强,[认同逻辑3：Family Rootedness],输出： [认同逻辑3：Family Rootedness]
