Case,Text,Golden_Labels,Qwen3-32B_Few,Qwen3-235B_Few,Gemma_Few,Qwen3-32B_Zero,Qwen3-235B_Zero,Gemma_Zero
139,东城：东直门，雍和宫，朝外SOHO（？） 西城：安贞？安慧？蓟门桥？南礼士路 海淀：各大知名院校，如清华北大等，中关村，五道口，也是程序员聚集地 朝阳：京爷，四合院，城根底下，繁华都市 丰台：有点偏，外来打工人租房子或者住员工宿舍的地方，有些地方还没开发出来，稍微有点沧桑 石景山：不熟悉，也挺偏的，就知道个八角游乐园 门头沟：山里？挺偏的，那边的人挺横，打架不好欺负 房山：太偏了，总感觉快出北京了，那边房子相对较便宜,"{1, 5, 7}",{1},"{1, 5, 7}","{1, 7}",set(),set(),{1}
140,我西湖区三墩镇，我都说自己杭州乡下人……跟他们城里人讲的话不一样,"{1, 4}","{1, 4}","{1, 4}","{1, 4}",set(),set(),set()
141,市中心是八一广场那边 所谓的一环二环也是八一为中心往外扩散 说红谷滩的 真的笑死,{1},{1},{1},{1},set(),set(),{1}
142,口音是重庆城头口音，不能有区县口音,{4},{4},{4},{4},set(),set(),{4}
143,我也都江堰的，被别个说口音难听,{4},{4},{4},{4},set(),set(),{4}
144,成都人都很和蔼都不会歧视外地人，反而是外地人比较歧视和排挤成都人吧，出去上班熟都不熟就开始问你，你们屋头有几套房？你们屋头有几套房你还出来上班啊？还半工半读那么努力？何必把你们平时生活中的不如意归结在成都本地人身上，作为一个正常人，这样的提问方式请问礼貌吗？而且外地的都很有钱，能够买的起房，给得起彩礼，我们成都的有几个买的起房给得起彩礼嘛我们哪里敢有优越感，我二环的，我们去春熙路一般都说进城,"{1, 6}","{1, 6}",{1},"{1, 6}",set(),set(),"{1, 6}"
145,黄明他妈我见过，标准的市里人，不是胶州口音,{4},{4},{4},{4},set(),set(),set()
146,哪有那么多原因，就是习惯了啊，家在亲戚朋友也在，上班也在。另外，南到南二环是不可能的，顶多到劳动路。,"{1, 6}","{1, 6}","{1, 6}","{1, 6}",set(),set(),set()
147,可能外地人不希望自己孩子一口四川话吧 毕竟这口音真的好难听 还联姻都用上了,{4},{4},{4},{4},set(),set(),{4}
148,话说什么是土著，我认为从爷爷辈土生土长开始才算是土著，那些从外地拿到成都户口或者父母辈从外地来定居生下的娃娃，然后很骄傲的弯酸，这种不算，并且所谓的成都人假打90%以上都是这种人,{3},{3},{3},{3},set(),set(),{3}
149,现在从下半城搬到了“镇头”（龙溪镇），但是十八梯的老房子我老汉还在那里住。他们土生土长在那里住惯了。,{3},{3},{3},{3},set(),set(),set()
150,判断是否广州本地人，就一个标准，有分红有祠堂有地,"{3, 6}",{6},"{3, 6}",{6},set(),set(),set()
151,因为武汉平时只说汉口、武昌、汉阳三镇，区的话很多，比如汉口包含江汉、江岸、硚口、东西湖、等等等等区，在长江以北、汉水以北的地界都属于汉口。武汉是被长江和汉江分割成了3个部分，你说的那些区是行政区划，3镇才是地理说法，你口中的老武汉人没有说错,{1},{1},{1},{1},set(),set(),{1}
152,我是都江堰的，其他地方的我不敢说，但是我可是从小被成都口音嘲笑哦，我小时候去亲戚家耍过暑假，我说吃饭他们就笑我口音，现在去成都我都不敢开腔，有时候买东西都说普通话，经历过很多次被恶意学我说话,{4},{4},{4},{4},set(),{4},{4}
